220	781	483	559
208	336	113	501
488	971	606	710
258	491	544	797
90	116	364	885
498	541	671	975
451	502	435	894
165	256	159	171
307	311	246	653
32	466	560	926
701	875	55	971
107	805	37	930
615	620	260
424	649	505	536	870
128	776	120	569
313	319	100	372
201	234	80	396
212	917	270	401
444	692	500	755
282	824	651	751
351	460	474	999
293	553	449	677
387	498	115	418
30	486	311	624
129	564	485	609
157	347	719	861
432	819	217	638
129	677	46	545
753	963	88	371
24	147	668	131
381	800	194	363	833
10	384	404	326
384	546	524	853	1000
382	755	419	938
306	473	355	881
84	552	273	408
12	433	369	756
352	963	148	744
135	287	71	729
63	188	110	519	840
612	752	169	495
352	496	147	394
481	952	393	550
379	780	177	979
163	222	793	839
28	141	104	887
97	684	653	903
258	949	618	896
218	501	251	318	761
283	730	695	953
569	912	472	727
820	922	227	556
136	987	332	902
99	762	276	791
11	132	201	522
358	827	842	850
96	665	62	106
861	934	528	669
734	761	136	489
424	966	146	655
94	679	421	440
57	194	242	521
40	118	358	786
125	313	186	941
542	947	418	541
572	670	791	801
213	471	492	966
755	802	580	800
401	815	264	456
516	579	189	597
39	770	286	387
192	661	144	578
439	961	197	301
378	517	680	829
756	981	102	611
269	714	373	596
725	858	785	896
644	919	295	575
461	767	758	955
17	445	284	610
325	347	360	696
178	228	233	560
499	519	440	827
36	536	694	180
247	770	583
155	724	162	325
825	984	138	980
29	868	445	555
488	558	361	809
5	490	764	459
124	710	132	234
355	970	263	589
848	998	215	605
61	254	810	973
435	901	676	833
57	230	554	783
47	246	832	722
461	944	125	244
54	415	689	196	884
16	942	268	654
224	335	529	679
75	559	165	633
549	744	776	844	905
46	298	293	638
673	876	319	548
57	565	733	988
12	336	621	600	852
262	514	730	995
121	615	353	961
40	920	329	425
359	926	705	978
376	598	726	974
2	484	116	156
330	888	357	395
23	389	770	905
5	113	510	219
299	769	327	858
63	210	867	460
315	646	132	826
15	778	328	697
109	397	474	753
480	518	134	247
841	843	548	946
91	271	495	278
64	98	763	170
350	427	181	213
244	343	239	847
15	702	727	697
25	28	889	923
573	736	232	280
30	880	224	238
55	91	119	659
137	465	689	762
122	936	176
39	310	911	225
53	59	777	357
133	368	739	402
87	301	167	583
162	360	254	874	886
542	671	292	464
46	509	738	252
733	850	155	736
608	997	183	792
72	372	551	658
255	451	453	962
60	994	661	851
30	42	757	624
38	916	371	910
202	505	355	537
487	997	663	906
254	979	162	237
571	833	969
225	318	208	765
206	430	211	299
86	142	312	443
113	869	209	423
26	205	661
283	772	527	623
8	964	900	948
379	842	339	733
516	867	294	690
139	86	151	441
45	245	964	611
540	798	200	282
8	102	245	899
573	643	644	768
138	586	627	770
234	278	468	721
41	862	369	692
125	955	597	976
8	683	503	533
327	968	298	537
211	691	768	815
492	605	451	552
879	933	914
134	632	286	389	891
44	750	467	893
82	722	956	678
276	453	407	552
84	492	591	666
126	761	341	479
555	622	826	889
143	991	378	957
272	719	917	921
525	610	245	717
64	544	493	593
196	270	446	913
40	440	850	347
70	375	465	942
374	785	898	999
390	720	798	919
72	493	845	917
531	793	419	520
62	31	370	215
670	883	453	954
187	99	537	212	266
73	905	834	963
500	999	615	985
467	792	235	310
164	718	293	838
17	55	508	598
149	282	968	838
463	986	590	926
419	816	267	539
157	357	388	324
154	830	952	556
788	899	707	856
2	153	431	951
156	740	509	542
118	303	351	241
173	154	397	398
18	196	593
67	126	489	506
722	737	703	897
93	194	435	455
275	644	356
27	913	298	405
49	765	972	911
116	930	600	645
1	423	743	501
394	549	607	757
45	487	908	717
635	728	986
101	131	482	650
153	135	541	249
407	591	297	616
52	532	919	968
82	703	804	628
420	801	348	358
96	574	954	428
508	577	283	751
130	323	348	460
82	480	269	732
17	168	91	261
199	639	731	848
389	567	702	776
151	503	812	899
131	529	391	864
127	471	341	758
571	727	450	461
210	267	660	821
62	596	447	796
821	940	406	631
127	98	450	715
163	165	185	908
97	9	650	581
85	122	285	855
252	669	553	777
225	334	698	782
835	962	296	513
49	559	434	987
248	141	442	837
367	772	282	684
94	151	139	978
145	339	700	665
8	284	1000	525
362	627	340	963
4	48	664	862
432	588	266	970
13	910	778	959
234	271	413	598
108	422	651
92	306	570	784
69	430	640	647
529	840	595	821
196	259	472	558
241	204	920	519
100	469	535	673
76	233	928	538
187	18	682	281
124	261	726	992
184	401	515	661
36	535	670
626	759	799	922
216	295	859	584	602
179	54	883	694
731	989	408	741
168	124	725	289
592	903	307	841
130	733	358	700
270	815	532	785
20	202	164	253
50	158	231	651
256	80	349	413
247	286	729	746
285	71	176	623
39	782	957	792
757	819	570	857
278	446	405	488
675	864	748	849
391	595	354	499
140	438	704	869
22	104	200	738
161	801	351	620
275	78	918	390
250	648	616	894
226	881	367	651	823
104	172	217	769
117	154	922	331
523	784	574	883
138	73	617	713
645	996	490	816
210	599	803	920
365	400	308	443
380	702	571	648
35	263	718	838
9	279	893	686
304	988	521	667
393	753	331	626
135	199	530	566
9	24	548	880
155	568	939	629
16	64	375	477
318	341	343	431
119	740	932	887
422	584	376	865
419	940	656	892
153	314	49	530
16	105	442	429
526	658	534	946
794	886	601	613
960	981	531	908
232	428	768	807
205	489	876	994
81	86	874	851
32	356	390	635
172	117	913	475
120	937	588	735
110	719	490	582
114	503	902	613
299	309	397	468
53	483	337	761
624	650	576	929
249	675	975	976
101	342	499	967
2	107	343	642
332	436	562	734	841
789	890	871	981
255	160	672	998
257	342	352
314	181	239	639
335	340	550	916
127	336	314	350
808	903	562	772
412	715	433	763
639	758	563	605
26	81	188	921
229	232	572	954
284	598	900	853
126	343	434	712
21	210	294	615
38	42	340	844	576
109	985	444	478	854
291	476	414	747
92	35	149	407
326	216	504	524	714
205	114	136	874
56	63	229	280
111	934	973
139	81	386	421
89	982	380	569
257	717	834	868
31	385	417	950
5	448	442	528
304	640	988	859
450	630	547	606
253	297	527	473
137	620	791
37	169	879	907
194	403	938	802
29	148	414	811
144	16	885	493
76	641	796	825
190	599	603	985
189	313	411	976
112	316	824	695
749	811	754	759
74	183	895	707
44	160	935	983
305	361	606	809
31	688	950	676
34	531	774	871
560	754	705	990
32	33	466	504
363	742	796	835
360	425	861	708
23	71	745	947
205	551	669	448
115	236	176	745
191	295	326	824
291	238	576	625
410	723	782	997
309	43	398	910
221	42	735	744
114	851	427	489
17	826	522	743
121	211	331	985
393	211	768	474
582	818	764	797
304	655	851	515
69	272	18	575
137	711	516	801
370	680	965	890
32	463	683	561
217	289	558	659
243	409	675	892
226	179	355	870
36	277	492	526
406	585	698	685
392	625	864	975
375	429	704	748
345	544	941	818
261	284	681	617
354	371	564	749
99	817	845	636
654	658	534	636
363	713	437	863
23	65	549	909
204	317	34	193
229	535	699	842
61	360	850	939
262	316	547	974	933
220	156	822	765
14	60	647	918
386	110	459	996
842	935	872	989
126	395	987	497
323	230	538	628
411	319	668	880
154	264	532	556
208	314	955	763
27	259	569	735
37	345	712	862
350	251	497	642
95	7	215	767
337	592	911	530
417	507	444	800
292	477	509	668
73	778	910
188	61	83	708
162	790	633	888
252	319	364	551	885
155	304	565	789
19	353	437	580
80	88	980	721
289	187	896	491
242	507	863	915
364	388	578	459
22	545	590	968
244	366	240	587
7	145	174	591
457	497	506	904
179	145	195	771
779	856	480	678
215	685	585
69	696	640
452	706	914	789
628	804	481	990
425	90	448	813
21	118	232	691
79	98	240	557
652	697	543	688
203	404	470	601
140	638	738	757
133	189	760	817
10	384	561	678
199	177	895	592
168	331	555	646
268	748	880	482
463	728	902	795
67	239	637	958
51	266	491	878
35	367	771	737
121	21	398	716
327	505	649
354	485	816	787
313	438	484	885
353	721	725	753
181	734	526	619
122	233	454	722
43	458	959	716
224	469	872	662
332	1	948	806
113	477	852	951
476	25	645	839
24	653	837	857
150	222	539	747
3	89	289	949
213	324	59	395
90	302	329	773
4	446	472	630
174	180	67	408	563
192	186	372	817
501	642	559	621
124	41	974	949
42	828	959	916
434	452	427	888
6	23	723	782
83	335	291	787
198	19	580	660
49	494	2	220
7	833	962	665
237	330	171	601
356	384	538	604
149	475	14	720	575
213	452	637	655
437	447	907	992
201	231	693	695
141	438	209	510
116	509	634	923
678	705	810	812
679	810	650	860
250	928	771	936
108	616	632
272	400	647	696
70	161	402	849
74	893	998
122	641	732	928
83	40	267	996
193	805	920	931
62	308	565	873
55	396	781	822
300	807	877	572
33	356	681
185	256	980	943
320	408	479	994
367	158	632	897
58	364	677	923
238	265	101	836
310	318	436	619
193	382	322	611
227	430	281	575
171	899	561	1000
320	416	673	989
420	268	273	711
84	14	966	866
196	149	172	970
428	504	269	783
487	204	892	595
164	687	751	772
6	225	65	869
65	140	209	932
462	778	961	993
186	412	4	944
449	28	769	820
33	714	825	732
422	366	958	847
311	105	123	837
103	221	418	671
342	43	846	811
388	442	144	876
36	174	179	672
22	248	795	925
96	796	928	962
182	88	468	626
